top_p,freq_pen,pres_pen,Correct,Fail to generate,Fail to execute,Fail unit tests
0,-2,-2,12,0,1,0
0,-2,-1.5,12,0,1,0
0,-2,-1,11,0,2,0
0,-2,-0.5,12,0,1,0
0,-2,0,12,0,1,0
0,-2,0.5,12,0,1,0
0,-2,1,13,0,0,0
0,-2,1.5,13,0,0,0
0,-2,2,13,0,0,0
0,-1.5,-2,12,0,1,0
0,-1.5,-1.5,12,0,1,0
0,-1.5,-1,11,0,2,0
0,-1.5,-0.5,12,0,1,0
0,-1.5,0,12,0,1,0
0,-1.5,0.5,13,0,0,0
0,-1.5,1,13,0,0,0
0,-1.5,1.5,13,0,0,0
0,-1.5,2,13,0,0,0
0,-1,-2,12,0,1,0
0,-1,-1.5,12,0,1,0
0,-1,-1,13,0,0,0
0,-1,-0.5,13,0,0,0
0,-1,0,13,0,0,0
0,-1,0.5,13,0,0,0
0,-1,1,13,0,0,0
0,-1,1.5,13,0,0,0
0,-1,2,13,0,0,0
0,-0.5,-2,13,0,0,0
0,-0.5,-1.5,12,0,1,0
0,-0.5,-1,13,0,0,0
0,-0.5,-0.5,13,0,0,0
0,-0.5,0,13,0,0,0
0,-0.5,0.5,13,0,0,0
0,-0.5,1,13,0,0,0
0,-0.5,1.5,13,0,0,0
0,-0.5,2,13,0,0,0
0,0,-2,13,0,0,0
0,0,-1.5,13,0,0,0
0,0,-1,13,0,0,0
0,0,-0.5,13,0,0,0
0,0,0,13,0,0,0
0,0,0.5,13,0,0,0
0,0,1,13,0,0,0
0,0,1.5,13,0,0,0
0,0,2,13,0,0,0
0,0.5,-2,12,0,1,0
0,0.5,-1.5,13,0,0,0
0,0.5,-1,13,0,0,0
0,0.5,-0.5,13,0,0,0
0,0.5,0,13,0,0,0
0,0.5,0.5,13,0,0,0
0,0.5,1,13,0,0,0
0,0.5,1.5,13,0,0,0
0,0.5,2,13,0,0,0
0,1,-2,13,0,0,0
0,1,-1.5,13,0,0,0
0,1,-1,13,0,0,0
0,1,-0.5,13,0,0,0
0,1,0,13,0,0,0
0,1,0.5,13,0,0,0
0,1,1,13,0,0,0
0,1,1.5,13,0,0,0
0,1,2,13,0,0,0
0,1.5,-2,13,0,0,0
0,1.5,-1.5,13,0,0,0
0,1.5,-1,13,0,0,0
0,1.5,-0.5,13,0,0,0
0,1.5,0,13,0,0,0
0,1.5,0.5,13,0,0,0
0,1.5,1,13,0,0,0
0,1.5,1.5,13,0,0,0
0,1.5,2,13,0,0,0
0,2,-2,13,0,0,0
0,2,-1.5,13,0,0,0
0,2,-1,13,0,0,0
0,2,-0.5,13,0,0,0
0,2,0,12,0,1,0
0,2,0.5,13,0,0,0
0,2,1,13,0,0,0
0,2,1.5,13,0,0,0
0,2,2,11,0,2,0
0.25,-2,-2,12,0,1,0
0.25,-2,-1.5,12,0,1,0
0.25,-2,-1,11,0,2,0
0.25,-2,-0.5,12,0,1,0
0.25,-2,0,11,0,2,0
0.25,-2,0.5,12,0,1,0
0.25,-2,1,12,0,1,0
0.25,-2,1.5,13,0,0,0
0.25,-2,2,13,0,0,0
0.25,-1.5,-2,12,0,1,0
0.25,-1.5,-1.5,12,0,1,0
0.25,-1.5,-1,12,0,1,0
0.25,-1.5,-0.5,12,0,1,0
0.25,-1.5,0,12,0,1,0
0.25,-1.5,0.5,12,0,1,0
0.25,-1.5,1,13,0,0,0
0.25,-1.5,1.5,13,0,0,0
0.25,-1.5,2,13,0,0,0
0.25,-1,-2,12,0,1,0
0.25,-1,-1.5,12,0,1,0
0.25,-1,-1,13,0,0,0
0.25,-1,-0.5,13,0,0,0
0.25,-1,0,13,0,0,0
0.25,-1,0.5,13,0,0,0
0.25,-1,1,13,0,0,0
0.25,-1,1.5,13,0,0,0
0.25,-1,2,13,0,0,0
0.25,-0.5,-2,12,0,1,0
0.25,-0.5,-1.5,12,0,1,0
0.25,-0.5,-1,13,0,0,0
0.25,-0.5,-0.5,13,0,0,0
0.25,-0.5,0,13,0,0,0
0.25,-0.5,0.5,13,0,0,0
0.25,-0.5,1,13,0,0,0
0.25,-0.5,1.5,13,0,0,0
0.25,-0.5,2,13,0,0,0
0.25,0,-2,12,0,1,0
0.25,0,-1.5,13,0,0,0
0.25,0,-1,13,0,0,0
0.25,0,-0.5,13,0,0,0
0.25,0,0,13,0,0,0
0.25,0,0.5,13,0,0,0
0.25,0,1,13,0,0,0
0.25,0,1.5,13,0,0,0
0.25,0,2,13,0,0,0
0.25,0.5,-2,13,0,0,0
0.25,0.5,-1.5,13,0,0,0
0.25,0.5,-1,13,0,0,0
0.25,0.5,-0.5,13,0,0,0
0.25,0.5,0,13,0,0,0
0.25,0.5,0.5,13,0,0,0
0.25,0.5,1,13,0,0,0
0.25,0.5,1.5,13,0,0,0
0.25,0.5,2,13,0,0,0
0.25,1,-2,13,0,0,0
0.25,1,-1.5,13,0,0,0
0.25,1,-1,13,0,0,0
0.25,1,-0.5,13,0,0,0
0.25,1,0,13,0,0,0
0.25,1,0.5,13,0,0,0
0.25,1,1,13,0,0,0
0.25,1,1.5,13,0,0,0
0.25,1,2,13,0,0,0
0.25,1.5,-2,13,0,0,0
0.25,1.5,-1.5,13,0,0,0
0.25,1.5,-1,13,0,0,0
