h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,exp_name,D,N,D/N
960,9368,15,7,0.0003453,736,66342,2.413517,2.3976109618296744,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.453e-04_bs736_ti66342_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.005524,736,33171,2.288173,2.2778836983119093,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr5.524e-03_bs736_ti33171_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0003453,736,53074,2.351091,2.3625541052342793,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr3.453e-04_bs736_ti53074_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.002762,736,33171,2.276773,2.26677528064734,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.762e-03_bs736_ti33171_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0004883,1024,23841,2.298171,2.307012281611546,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs1024_ti23841_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.0009766,32,1525878,2.432666,2.4137805813253053,step2v2_0618_h960_ffnh9368_numh15_numl7_lr9.766e-04_bs32_ti1525878_mlr1.00e-05,100000000000,214663680,465.84499063837904
960,9368,15,7,0.001381,128,381469,2.421673,2.3583542548184586,step2v2_0618_h960_ffnh9368_numh15_numl7_lr1.381e-03_bs128_ti381469_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.003906,2048,11920,2.319124,2.312878249783144,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs2048_ti11920_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.002762,32,762939,2.399201,2.380411149629176,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.762e-03_bs32_ti762939_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0009766,352,69358,2.278578,2.2687204593838177,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr9.766e-04_bs352_ti69358_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.001381,1024,38146,2.313347,2.326585942511133,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.381e-03_bs1024_ti38146_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.0009766,192,127156,2.273788,2.265579835154685,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr9.766e-04_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0006905,128,305175,2.348516,2.3236277551393116,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr6.905e-04_bs128_ti305175_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.01105,192,203450,2.378132,2.3790827326294597,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.105e-02_bs192_ti203450_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.002762,64,610351,2.371711,2.3679868599257157,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr2.762e-03_bs64_ti610351_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.007812,192,127156,2.325056,2.3113751749255287,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr7.812e-03_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.007812,736,33171,2.30046,2.289878505941001,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr7.812e-03_bs736_ti33171_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.001381,2048,23841,2.373371,2.381233296851839,step2v2_0618_h960_ffnh9368_numh15_numl7_lr1.381e-03_bs2048_ti23841_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.005524,256,95367,2.285063,2.2793525052386547,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr5.524e-03_bs256_ti95367_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.01105,128,305175,2.429212,2.407540745145626,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.105e-02_bs128_ti305175_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.007812,1024,38146,2.300474,2.3138873781694973,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr7.812e-03_bs1024_ti38146_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.01105,1024,47683,2.345163,2.3590767120439318,step2v2_0618_h960_ffnh9368_numh15_numl7_lr1.105e-02_bs1024_ti47683_mlr1.00e-05,100000000000,214663680,465.84499063837904
960,9368,15,7,0.002762,736,66342,2.358602,2.3445016176522024,step2v2_0618_h960_ffnh9368_numh15_numl7_lr2.762e-03_bs736_ti66342_mlr1.00e-05,100000000000,214663680,465.84499063837904
1024,9552,16,8,0.0003453,512,76293,2.341989,2.352917115184631,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr3.453e-04_bs512_ti76293_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.007812,2048,19073,2.343836,2.3453091684244614,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr7.812e-03_bs2048_ti19073_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.001381,736,33171,2.284752,2.275322265877307,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.381e-03_bs736_ti33171_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.007812,512,76293,2.303998,2.3133724624728425,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr7.812e-03_bs512_ti76293_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.0002441,192,127156,2.300096,2.2937386730321996,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.441e-04_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0004883,64,381469,2.375902,2.286109109905815,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs64_ti381469_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0009766,32,762939,2.347637,2.32912824424883,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr9.766e-04_bs32_ti762939_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.001953,1024,23841,2.266227,2.27475067491006,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.953e-03_bs1024_ti23841_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.003906,32,762939,2.433523,2.42239361136439,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs32_ti762939_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.0004883,736,66342,2.402201,2.3862305325803734,step2v2_0618_h960_ffnh9368_numh15_numl7_lr4.883e-04_bs736_ti66342_mlr1.00e-05,100000000000,214663680,465.84499063837904
1024,9552,16,8,0.0002441,128,305175,2.371909,2.3462462553977104,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr2.441e-04_bs128_ti305175_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.0009766,736,53074,2.318849,2.3303444559036626,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr9.766e-04_bs736_ti53074_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.0002441,256,190734,2.361933,2.3909159704257528,step2v2_0618_h960_ffnh9368_numh15_numl7_lr2.441e-04_bs256_ti190734_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0003453,192,127156,2.28812,2.2839312983010607,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.453e-04_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.001381,32,1220703,2.317127,2.3903837310341327,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.381e-03_bs32_ti1220703_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.007812,64,381469,2.496767,2.4041233222345144,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr7.812e-03_bs64_ti381469_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0006905,2048,19073,2.371453,2.3729425869806513,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr6.905e-04_bs2048_ti19073_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.01105,64,610351,2.505858,2.4999572837632864,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.105e-02_bs64_ti610351_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.002762,512,76293,2.295902,2.307333348426464,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr2.762e-03_bs512_ti76293_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.001953,512,47683,2.268273,2.2638215385589273,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.953e-03_bs512_ti47683_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0003453,192,203450,2.338548,2.3384517844086465,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr3.453e-04_bs192_ti203450_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.005524,64,610351,2.418923,2.4139465671690306,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr5.524e-03_bs64_ti610351_mlr1.00e-05,80000000000,268304384,298.1688141182218
