seq_len,topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,exp_name,moe_layer_enum_type,mfa_version,numld,Nattn,N,Na,M,kvcache,D,D/N,total_time,Na/N,moe_name
2048,1,89,352,352,1408,3904,11,16,1.726e-04,32,30517,2.721691,2.680629944853511,0.406027,-1,30516,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,12390.725959000001,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,1.726e-04,32,30517,2.681733,2.6388746955097973,0.416814,-1,30516,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,12719.912838,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,1.726e-04,32,30517,2.648927,2.59984350981794,0.502881,-1,30516,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs32_ti30517_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,15346.419477000001,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,1.726e-04,32,30517,2.624484,2.5783433462360033,0.605562,-1,30516,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,18479.935554,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,1.726e-04,64,15258,2.615083,2.683143391788305,0.508093,-1,15257,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs64_ti15258_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,7752.482994,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,1.726e-04,64,15258,2.583851,2.649588438388113,0.538987,-1,15257,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs64_ti15258_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,8223.863646,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,1.726e-04,64,15258,2.540422,2.6128970019772275,0.715499,-1,15257,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs64_ti15258_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,10917.083742,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,1.726e-04,64,15258,2.525522,2.5958292557328075,1.172181,-1,15257,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs64_ti15258_mlr1e-5,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,17885.137698,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,1.726e-04,128,7629,2.720423,2.7211455612296334,0.784286,-1,7628,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs128_ti7629_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,5983.317894000001,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,1.726e-04,128,7629,2.68381,2.6868381402395927,0.839218,-1,7628,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs128_ti7629_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,6402.394122,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,1.726e-04,128,7629,2.644165,2.650470259945063,1.180125,-1,7628,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs128_ti7629_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,9003.173625000001,0.2739621497598428,1in8
